title,company,location,date_posted,score,job_url
Senior Principal Al Engineer,"Cornerstone OnDemand, Inc.",India,3/13/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010063717377
Lead Data Science,Capgemini,Bengaluru,3/12/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010062478381
Gen AI Engineer,Tata Consultancy Services,Ahmedabad,3/13/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010063508119
"Assistant Director,UWS Ops Analytics Lead UK",HSBC Global Services Limited,India,3/13/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010063709080
Technical Lead – AI Engineer,Dinjan Group,,3/13/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010063558084
Full Stack Developer Intern,Skillsprout IT,Pune,3/11/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010060595212
"Junior Software Engineer, AI/ML",ValGenesis,Hyderābād,3/12/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1009792532440
Senior Data Scientist,Capgemini,Bengaluru,3/12/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010061817110
AI Engineer - Global Analytic,Concentrix,Bengaluru,3/12/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010062606233
Associate Director- Innovation,HSBC Global Services Limited,Bengaluru,3/12/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010062356321
Lead Consultant – Azure AI Engineer,Genpact,Noida,3/12/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1009911526512
Gen AI Lead,"Orion Systems Integrators, Inc.",Chennai,3/12/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010062397116
Sr. D&T Data Scientist,General Mills,Mumbai,3/11/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010061041877
"Vice President, Services Payments Analytics",Citi,Bengaluru,3/11/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010060289424
AI Engineer,Fulcrum Digital,Pune,3/11/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010060675427
Senior IT Process Analyst – ITSM AI Specialist,Ensono,Pune,3/11/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010060951408
Sr Manager GTN Innovation,Amgen,Hyderābād,3/11/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010060770159
AI/ML Engineer,Insphere Solutions.Private Limited,Pitampura,3/11/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010060737099
Junior Data Scientist - DHL Global Functions - INDIA,DHL,India,3/12/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010062174099
